TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber
TXN00047,12/18/2024,1006.09,Axis Bank,Axis Bank,4530.16,Hyderabad,Female,Transfer,Success,06:36:34 AM,Laptop,QR Code,Zomato,Travel,27,Scheduled,GBP,123456789059,987654321059
TXN00048,01/19/2024,1105.85,HDFC Bank,ICICI Bank,4943.41,Mumbai,Male,Payment,Success,04:26:49 PM,Mobile,UPI ID,Swiggy,Bill Payment,28,Instant,INR,123456789060,987654321060
TXN00049,02/20/2024,135.49,SBI Bank,HDFC Bank,3162.11,Delhi,Female,Transfer,Success,10:56:25 AM,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,123456789061,987654321061
TXN00050,03/21/2024,1200.69,ICICI Bank,SBI Bank,1182.48,Bangalore,Male,Payment,Failed,02:41:40 PM,Laptop,QR Code,Flipkart,Shopping,30,Instant,EUR,123456789062,987654321062
TXN00051,04/22/2024,290.37,Axis Bank,Axis Bank,9923.06,Hyderabad,Female,Transfer,Success,04:19:25 AM,Mobile,UPI ID,Amazon,Food,31,Scheduled,GBP,123456789063,987654321063
TXN00052,05/23/2024,1099.5,HDFC Bank,ICICI Bank,1999.3,Mumbai,Male,Payment,Success,11:12:36 PM,Tablet,Phone Number,Zomato,Travel,32,Instant,INR,123456789064,987654321064
TXN00053,06/24/2024,1497.71,SBI Bank,HDFC Bank,5833.67,Delhi,Female,Transfer,Success,04:56:35 AM,Laptop,QR Code,Swiggy,Bill Payment,33,Scheduled,USD,123456789065,987654321065
TXN00054,07/25/2024,1167.44,ICICI Bank,SBI Bank,8241.59,Bangalore,Male,Payment,Success,12:36:45 AM,Mobile,UPI ID,IRCTC,Others,34,Instant,EUR,123456789066,987654321066
TXN00055,08/26/2024,61.73,Axis Bank,Axis Bank,7989.63,Hyderabad,Female,Transfer,Failed,03:59:33 AM,Tablet,Phone Number,Flipkart,Shopping,35,Scheduled,GBP,123456789067,987654321067
TXN00056,09/27/2024,591.43,HDFC Bank,ICICI Bank,9710.39,Mumbai,Male,Payment,Success,02:21:14 PM,Laptop,QR Code,Amazon,Food,36,Instant,INR,123456789068,987654321068
TXN00057,10/28/2024,877.29,SBI Bank,HDFC Bank,8504.05,Delhi,Female,Transfer,Success,03:30:44 PM,Mobile,UPI ID,Zomato,Travel,37,Scheduled,USD,123456789069,987654321069
TXN00058,11/29/2024,1050.05,ICICI Bank,SBI Bank,5758.47,Bangalore,Male,Payment,Success,12:35:41 AM,Tablet,Phone Number,Swiggy,Bill Payment,38,Instant,EUR,123456789070,987654321070
TXN00059,12/30/2024,1753.84,Axis Bank,Axis Bank,6949.3,Hyderabad,Female,Transfer,Success,04:13:14 PM,Laptop,QR Code,IRCTC,Others,39,Scheduled,GBP,123456789071,987654321071
TXN00060,01/01/2024,1016.95,HDFC Bank,ICICI Bank,3601.68,Mumbai,Male,Payment,Failed,12:48:43 AM,Mobile,UPI ID,Flipkart,Shopping,40,Instant,INR,123456789072,987654321072
TXN00061,02/02/2024,95.74,SBI Bank,HDFC Bank,4541.38,Delhi,Female,Transfer,Success,07:56:15 AM,Tablet,Phone Number,Amazon,Food,41,Scheduled,USD,123456789073,987654321073
TXN00062,03/03/2024,582.7,ICICI Bank,SBI Bank,6027.89,Bangalore,Male,Payment,Success,09:14:03 AM,Laptop,QR Code,Zomato,Travel,42,Instant,EUR,123456789074,987654321074
TXN00063,04/04/2024,264.61,Axis Bank,Axis Bank,3004.97,Hyderabad,Female,Transfer,Success,01:33:32 AM,Mobile,UPI ID,Swiggy,Bill Payment,43,Scheduled,GBP,123456789075,987654321075
TXN00064,05/05/2024,1516.94,HDFC Bank,ICICI Bank,6343.03,Mumbai,Male,Payment,Success,12:40:23 PM,Tablet,Phone Number,IRCTC,Others,44,Instant,INR,123456789076,987654321076
TXN00065,06/06/2024,847.75,SBI Bank,HDFC Bank,830.75,Delhi,Female,Transfer,Failed,08:12:31 PM,Laptop,QR Code,Flipkart,Shopping,45,Scheduled,USD,123456789077,987654321077
TXN00066,07/07/2024,1053.87,ICICI Bank,SBI Bank,990.96,Bangalore,Male,Payment,Success,03:34:54 AM,Mobile,UPI ID,Amazon,Food,46,Instant,EUR,123456789078,987654321078
TXN00067,08/08/2024,649.72,Axis Bank,Axis Bank,5152.44,Hyderabad,Female,Transfer,Success,10:45:50 AM,Tablet,Phone Number,Zomato,Travel,47,Scheduled,GBP,123456789079,987654321079
TXN00068,09/09/2024,1401.99,HDFC Bank,ICICI Bank,3257.98,Mumbai,Male,Payment,Success,11:49:20 AM,Laptop,QR Code,Swiggy,Bill Payment,48,Instant,INR,123456789080,987654321080
TXN00069,10/10/2024,683.59,SBI Bank,HDFC Bank,7152.35,Delhi,Female,Transfer,Success,12:34:54 PM,Mobile,UPI ID,IRCTC,Others,49,Scheduled,USD,123456789081,987654321081
TXN00070,11/11/2024,240.1,ICICI Bank,SBI Bank,1035.24,Bangalore,Male,Payment,Failed,01:33:50 AM,Tablet,Phone Number,Flipkart,Shopping,50,Instant,EUR,123456789082,987654321082
TXN00071,12/12/2024,1663.2,Axis Bank,Axis Bank,4462.8,Hyderabad,f,Transfer,Success,03:28:37 PM,Laptop,QR Code,Amazon,Food,51,Scheduled,GBP,123456789083,987654321083
TXN00072,01/13/2024,376.61,HDFC Bank,ICICI Bank,2240.34,Mumbai,m,Payment,Success,02:42:08 PM,Mobile,UPI ID,Zomato,Travel,52,Instant,INR,123456789084,987654321084
TXN00073,02/14/2024,1590.69,SBI Bank,HDFC Bank,3131.34,Delhi,f,Transfer,Success,11:05:45 AM,Tablet,Phone Number,Swiggy,Bill Payment,53,Scheduled,USD,123456789085,987654321085
TXN00074,03/15/2024,623.18,ICICI Bank,SBI Bank,1283.94,Bangalore,m,Payment,Success,01:22:53 PM,Laptop,QR Code,IRCTC,Others,54,Instant,EUR,123456789086,987654321086
TXN00075,04/16/2024,1645.02,Axis Bank,Axis Bank,4590.19,Hyderabad,f,Transfer,Failed,02:36:24 PM,Mobile,UPI ID,Flipkart,Shopping,55,Scheduled,GBP,123456789087,987654321087
TXN00076,05/17/2024,4.5,HDFC Bank,ICICI Bank,4922.13,Mumbai,m,Payment,Success,08:09:09 AM,Tablet,Phone Number,Amazon,Food,56,Instant,INR,123456789088,987654321088
TXN00077,06/18/2024,1036.23,SBI Bank,HDFC Bank,6073.74,Delhi,f,Transfer,Success,08:32:50 AM,Laptop,QR Code,Zomato,Travel,57,Scheduled,USD,123456789089,987654321089
TXN00078,07/19/2024,1985.46,ICICI Bank,SBI Bank,2735.63,Bangalore,m,Payment,Success,02:09:39 PM,Mobile,UPI ID,Swiggy,Bill Payment,58,Instant,EUR,123456789090,987654321090
TXN00079,08/20/2024,486.67,Axis Bank,Axis Bank,5811.54,Hyderabad,f,Transfer,Success,04:23:43 AM,Tablet,Phone Number,IRCTC,Others,59,Scheduled,GBP,123456789091,987654321091
TXN00080,09/21/2024,108.65,HDFC Bank,ICICI Bank,2015.36,Mumbai,m,Payment,Failed,05:39:44 AM,Laptop,QR Code,Flipkart,Shopping,20,Instant,INR,123456789092,987654321092
TXN00081,10/22/2024,940.24,SBI Bank,HDFC Bank,2034.02,Delhi,f,Transfer,Success,12:14:40 AM,Mobile,UPI ID,Amazon,Food,21,Scheduled,USD,123456789093,987654321093
TXN00082,11/23/2024,1705.75,ICICI Bank,SBI Bank,4862.73,Bangalore,m,Payment,Success,03:32:23 PM,Tablet,Phone Number,Zomato,Travel,22,Instant,EUR,123456789094,987654321094
TXN00083,12/24/2024,430.18,Axis Bank,Axis Bank,6185.61,Hyderabad,f,Transfer,Success,09:42:28 AM,Laptop,QR Code,Swiggy,Bill Payment,23,Scheduled,GBP,123456789095,987654321095
TXN00084,01/25/2024,818.34,HDFC Bank,ICICI Bank,9508.18,Mumbai,m,Payment,Success,12:19:05 PM,Mobile,UPI ID,IRCTC,Others,24,Instant,INR,123456789096,987654321096
TXN00085,02/26/2024,725.38,SBI Bank,HDFC Bank,1805.99,Delhi,f,Transfer,Failed,05:12:21 AM,Tablet,Phone Number,Flipkart,Shopping,25,Scheduled,USD,123456789097,987654321097
TXN00086,03/27/2024,1323.91,ICICI Bank,SBI Bank,123.08,Bangalore,m,Payment,Success,03:45:28 AM,Laptop,QR Code,Amazon,Food,26,Instant,EUR,123456789098,987654321098
TXN00087,04/28/2024,1527.19,Axis Bank,Axis Bank,4829.75,Hyderabad,f,Transfer,Success,06:56:52 AM,Mobile,UPI ID,Zomato,Travel,27,Scheduled,GBP,123456789099,987654321099
TXN00088,05/29/2024,99.33,HDFC Bank,ICICI Bank,9860.5,Mumbai,m,Payment,Success,04:12:05 PM,Tablet,Phone Number,Swiggy,Bill Payment,28,Instant,INR,123456789100,987654321100
TXN00089,06/30/2024,1835.44,SBI Bank,HDFC Bank,6827.44,Delhi,f,Transfer,Success,12:20:38 AM,Laptop,QR Code,IRCTC,Others,29,Scheduled,USD,123456789101,987654321101
TXN00090,07/01/2024,1803.64,ICICI Bank,SBI Bank,1155.54,Bangalore,m,Payment,Failed,09:17:11 AM,Mobile,UPI ID,Flipkart,Shopping,30,Instant,EUR,123456789102,987654321102
TXN00091,08/02/2024,506.51,Axis Bank,Axis Bank,6543.26,Hyderabad,f,Transfer,Success,08:10:58 PM,Tablet,Phone Number,Amazon,Food,31,Scheduled,GBP,123456789103,987654321103
TXN00092,09/03/2024,8.34,HDFC Bank,ICICI Bank,8714.16,Mumbai,m,Payment,Success,03:35:43 AM,Laptop,QR Code,Zomato,Travel,32,Instant,INR,123456789104,987654321104
TXN00093,10/04/2024,1035.36,SBI Bank,HDFC Bank,1900.92,Delhi,f,Transfer,Success,08:00:59 AM,Mobile,UPI ID,Swiggy,Bill Payment,33,Scheduled,USD,123456789105,987654321105
TXN00094,11/05/2024,236.42,ICICI Bank,SBI Bank,7011.43,Bangalore,m,Payment,Success,08:28:10 AM,Tablet,Phone Number,IRCTC,Others,34,Instant,EUR,123456789106,987654321106
TXN00095,12/06/2024,1497.97,Axis Bank,Axis Bank,690.82,Hyderabad,f,Transfer,Failed,07:26:21 PM,Laptop,QR Code,Flipkart,Shopping,35,Scheduled,GBP,123456789107,987654321107
TXN00096,01/07/2024,1997.89,HDFC Bank,ICICI Bank,8527.06,Mumbai,m,Payment,Success,10:18:44 PM,Mobile,UPI ID,Amazon,Food,36,Instant,INR,123456789108,987654321108
TXN00097,02/08/2024,1476.86,SBI Bank,HDFC Bank,4376.29,Delhi,f,Transfer,Success,09:01:22 AM,Tablet,Phone Number,Zomato,Travel,37,Scheduled,USD,123456789109,987654321109
TXN00098,03/09/2024,306.34,ICICI Bank,SBI Bank,8601.03,Bangalore,m,Payment,Success,01:31:06 PM,Laptop,QR Code,Swiggy,Bill Payment,38,Instant,EUR,123456789110,987654321110
TXN00099,04/10/2024,1320.31,Axis Bank,Axis Bank,7248.94,Hyderabad,f,Transfer,Success,02:14:09 PM,Mobile,UPI ID,IRCTC,Others,39,Scheduled,GBP,123456789111,987654321111
TXN00100,05/11/2024,572.7,HDFC Bank,ICICI Bank,7757.98,Mumbai,m,Payment,Failed,06:25:15 PM,Tablet,Phone Number,Flipkart,Shopping,40,Instant,INR,123456789112,987654321112
TXN00101,06/12/2024,634.99,SBI Bank,HDFC Bank,5643.04,Delhi,f,Transfer,Success,02:20:44 PM,Laptop,QR Code,Amazon,Food,41,Scheduled,USD,123456789113,987654321113
TXN00102,07/13/2024,1587.27,ICICI Bank,SBI Bank,4279.26,Bangalore,m,Payment,Success,03:39:06 PM,Mobile,UPI ID,Zomato,Travel,42,Instant,EUR,123456789114,987654321114
TXN00103,08/14/2024,16.24,Axis Bank,Axis Bank,9723.93,Hyderabad,Female,Transfer,Success,06:29:05 PM,Tablet,Phone Number,Swiggy,Bill Payment,43,Scheduled,GBP,123456789115,987654321115
TXN00104,09/15/2024,409.39,HDFC Bank,ICICI Bank,4378.32,Mumbai,Male,Payment,Success,03:22:44 AM,Laptop,QR Code,IRCTC,Others,44,Instant,INR,123456789116,987654321116
TXN00105,10/16/2024,426.54,SBI Bank,HDFC Bank,4675.2,Delhi,Female,Transfer,Failed,02:03:41 AM,Mobile,UPI ID,Flipkart,Shopping,45,Scheduled,USD,123456789117,987654321117
TXN00106,11/17/2024,1730.93,ICICI Bank,SBI Bank,3982.56,Bangalore,Male,Payment,Success,09:02:42 AM,Tablet,Phone Number,Amazon,Food,46,Instant,EUR,123456789118,987654321118
TXN00107,12/18/2024,1309.25,Axis Bank,Axis Bank,8894.49,Hyderabad,Female,Transfer,Success,08:29:54 PM,Laptop,QR Code,Zomato,Travel,47,Scheduled,GBP,123456789119,987654321119
TXN00108,01/19/2024,11.92,HDFC Bank,ICICI Bank,6758.73,Mumbai,Male,Payment,Success,03:49:33 PM,Mobile,UPI ID,Swiggy,Bill Payment,48,Instant,INR,123456789120,987654321120
TXN00109,02/20/2024,1701.26,SBI Bank,HDFC Bank,8210.37,Delhi,Female,Transfer,Success,07:55:25 PM,Tablet,Phone Number,IRCTC,Others,49,Scheduled,USD,123456789121,987654321121
TXN00110,03/21/2024,250.05,ICICI Bank,SBI Bank,582.17,Bangalore,Male,Payment,Failed,04:44:09 AM,Laptop,QR Code,Flipkart,Shopping,50,Instant,EUR,123456789122,987654321122
TXN00111,04/22/2024,1349.63,Axis Bank,Axis Bank,8686.87,Hyderabad,Female,Transfer,Success,07:35:29 AM,Mobile,UPI ID,Amazon,Food,51,Scheduled,GBP,123456789123,987654321123
TXN00112,05/23/2024,949.34,HDFC Bank,ICICI Bank,8940.52,Mumbai,Male,Payment,Success,07:36:16 AM,Tablet,Phone Number,Zomato,Travel,52,Instant,INR,123456789124,987654321124
TXN00113,06/24/2024,944.05,SBI Bank,HDFC Bank,3542.09,Delhi,Female,Transfer,Success,06:15:35 PM,Laptop,QR Code,Swiggy,Bill Payment,53,Scheduled,USD,123456789125,987654321125
TXN00114,07/25/2024,1789.18,ICICI Bank,SBI Bank,3686.62,Bangalore,Male,Payment,Success,09:19:51 AM,Mobile,UPI ID,IRCTC,Others,54,Instant,EUR,123456789126,987654321126
TXN00115,08/26/2024,1736.67,Axis Bank,Axis Bank,4454.47,Hyderabad,Female,Transfer,Failed,04:08:08 AM,Tablet,Phone Number,Flipkart,Shopping,55,Scheduled,GBP,123456789127,987654321127
TXN00116,09/27/2024,1144.97,HDFC Bank,ICICI Bank,2116.14,Mumbai,Male,Payment,Success,02:26:07 PM,Laptop,QR Code,Amazon,Food,56,Instant,INR,123456789128,987654321128
TXN00117,10/28/2024,944.14,SBI Bank,HDFC Bank,9676.41,Delhi,Female,Transfer,Success,12:55:08 AM,Mobile,UPI ID,Zomato,Travel,57,Scheduled,USD,123456789129,987654321129
TXN00118,11/29/2024,463.45,ICICI Bank,SBI Bank,1543.94,Bangalore,Male,Payment,Success,12:54:48 PM,Tablet,Phone Number,Swiggy,Bill Payment,58,Instant,EUR,123456789130,987654321130
TXN00119,12/30/2024,326.43,Axis Bank,Axis Bank,7300.24,Hyderabad,Female,Transfer,Success,01:57:52 AM,Laptop,QR Code,IRCTC,Others,59,Scheduled,GBP,123456789131,987654321131
TXN00120,01/01/2024,240.72,HDFC Bank,ICICI Bank,6520.62,Mumbai,Male,Payment,Failed,02:41:06 AM,Mobile,UPI ID,Flipkart,Shopping,20,Instant,INR,123456789132,987654321132
TXN00121,02/02/2024,1853.27,SBI Bank,HDFC Bank,713.51,Delhi,Female,Transfer,Success,12:57:00 AM,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,123456789133,987654321133
TXN00122,03/03/2024,526.87,ICICI Bank,SBI Bank,6155.73,Bangalore,Male,Payment,Success,09:06:14 AM,Laptop,QR Code,Zomato,Travel,22,Instant,EUR,123456789134,987654321134
TXN00123,04/04/2024,925.88,Axis Bank,Axis Bank,151.9,Hyderabad,Female,Transfer,Success,09:25:41 AM,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,123456789135,987654321135
TXN00124,05/05/2024,453.54,HDFC Bank,ICICI Bank,3380.72,Mumbai,Male,Payment,Success,10:31:55 AM,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,123456789136,987654321136
TXN00125,06/06/2024,1535.09,SBI Bank,HDFC Bank,5371.61,Delhi,Female,Transfer,Failed,10:47:28 PM,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,123456789137,987654321137
TXN00126,07/07/2024,787.96,ICICI Bank,SBI Bank,5108.25,Bangalore,Male,Payment,Success,07:01:38 PM,Mobile,UPI ID,Amazon,Food,26,Instant,EUR,123456789138,987654321138
TXN00127,08/08/2024,1831.44,Axis Bank,Axis Bank,9543.16,Hyderabad,Female,Transfer,Success,01:24:19 AM,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,123456789139,987654321139
TXN00128,09/09/2024,11.56,HDFC Bank,ICICI Bank,5605.45,Mumbai,Male,Payment,Success,11:05:41 AM,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,123456789140,987654321140
TXN00129,10/10/2024,1922.79,SBI Bank,HDFC Bank,810.43,Delhi,Female,Transfer,Success,03:01:28 AM,Mobile,UPI ID,IRCTC,Others,29,Scheduled,USD,123456789141,987654321141
TXN00130,11/11/2024,434.02,ICICI Bank,SBI Bank,7808.38,Bangalore,Male,Payment,Failed,10:33:50 AM,Tablet,Phone Number,Flipkart,Shopping,30,Instant,EUR,123456789142,987654321142
TXN00131,12/12/2024,1059.47,Axis Bank,Axis Bank,3886,Hyderabad,Female,Transfer,Success,07:11:49 AM,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,123456789143,987654321143
TXN00132,01/13/2024,1466.54,HDFC Bank,ICICI Bank,319.52,Mumbai,Male,Payment,Success,05:32:25 AM,Mobile,UPI ID,Zomato,Travel,32,Instant,INR,123456789144,987654321144
